NAMES,MEANING,GENDER
jhoshil,A Sanskrit name meaning Validation,Boy
jhulier,It means precious. People with this name have the ability to deal every kind of people because they are diplomatic in nature and have pleasant sense of humour.,Boy
jhuma,"The word specific meaning is toy for child or any playing thing for child. People with this name are honest, brilliant, clever and courageous in nature.",Boy
jhumar,"They are imaginative, theoretical and with inspirational ideas.",Boy
jhumki,"They are imaginative, impressionable and comedienne. They can be enjoyable and appreciable by the audience.",Boy
jibesh,"An original, ambitious and has a helpful nature",Boy
jigen,Jigen means the sword which is very sharp. Or the wods sharpest sword. In simple meaning sharp minded person.,Boy
jigesh,God Name; A name derived from Jigeesh which means God,Boy
jigisha,Superior; Supreme Being; Mighty,Boy
jigna,an intllectual girl who is always curious for everything and want to discover whole world.,Girl
jignaas,Interest; Concern; Importance; Significance,Boy
jignyasu,"Jignyasu is a male Indian name, most commonly represented in Hindu religion. The meaning of the name is Curious.",Boy
jiho,Jiho means the aroma of compassion.,Boy
jimit,"To win others Hearts; One who is pleasing, appealing and charming and wins heart",Boy
jinadev,it means victory of lord.Full of energy and creative people. they can find the best solution of everything and posess the unique character. They are idealistic in nature and have listening skills.,Boy
jinal,it means lord Vishnu who have speech power and can easily convince the audience towards him. They keep themselves busy and determined.,Girl
jinali,A name of Lord Vishnu,Girl
jinand,One of many names of Lord Shri Krishna,Boy
jinaprasad,Blessing of Life; One who is considered a gift of life,Boy
jinavimala,"name of Lord Vishnu who is powerful , motivated and deep in attitude. Have leadership skills and can easily divert the audience towards himself.",Boy
jinay,God; Supreme Being; Lord; Also means a follower of Jainism,Boy
jind,Life; Being; Living; Existence;,Boy
jinda,"very strong, intuitive, reassuring, kind, generous and responsive in nature. They are always available for help and are great listeners.",Boy
jindal,"people with this name are self learners, autonomous and independent. They focus on their looks and physical appearance.",Boy
jinen,Lord of Victory; God of Triumph,Boy
jineshwar,"God, the almighty",Boy
jiral,A boy with thousand qualtities; Spear Warrior,Boy
jish,Winner; Victory; Triumph; Success,Boy
jisha,"the meaning of this name is person having high level of feeling and passion for living. Highly optimistic , artistic nature and have love for nature.",Girl
jishna,the name is linked with lord Ganesh and lord Vishnu. Such people have creative and artistic mind. They can easily analyze and judge people.,Girl
jisnu,Victorious; Triumphant; Winner; Successful; Conquerer,Boy
jit,The name Jit is an Indian male name and means Winner or Arjuna. It is moslty represented in Hindu religion.,Boy
jita,Conquered; Victor; Triumphant; Winner; Successful,Boy
jital,Jital means Winner. It is an Indian female name most commonly represented in Hindu religion.,Girl
jitamitra,The name Jitamitra is an Indian male name. It means Vanquisher of all foes and is mainly represented in Hindu religion.,Boy
jitatma,"The meaning of the name Jitatma is Conqueror of the Soul. It is an Indian male name, used in Hindu religion.",Boy
jitavrata,Conquering by Vows; Triumphant by Vows; One who wins with promises,Boy
jiten,The name Jiten is an Indian male name and is mostly represented in Jain religion and means Conqueror.,Boy
jitender,It is an Indian male name and means The Conqueror of Indra. It is most commonly used in Hindu religion.,Boy
jitendra,"The meaning of the name Jitendra is The one who has won Indra. It is an Indian male name, mostly represented in Hindu religion.",Boy
jitendriya,One who has control over the senses; Beyond the reach of five Senses; free of all senses;,Boy
jitesh,"The name Jitesh means God of Voctory ot Winner. It is an Indian male name, used in Hindu religion.",Boy
jithendra,Conqueror of Indra; Lord of Conquerors,Boy
jithesh,"Jithesh is an Indian male name, a variation of the name Jitesh. The meaning of the name is Victory or Winner.",Boy
jithin,The meaning of the name Jithin is Undefeatable. It is of Indian origin and represented in Hindu religion.,Boy
jithu,Jithu is an Indian male name. It means The one who is always winning. It is most commonly represented in Hindu religion.,Boy
jithvar,The meaning of the name Jithvar is Victorious or The one who always wins. It is represented in Hindu religion and is an Indian male name.,Boy
jitin,One who Rules the Body; One who controls the body,Boy
jitinder,Conqueror of Indra; Lord of Conquerors,Boy
jitrendra,Conqueror of Indra; Lord of Conquerors,Boy
jitu,Jitu is an Indian male name and means Always a Winner. It is represented in the Hindu Religion.,Boy
jitvan,The name Jitvan is an Indian male name. It means Victorious. The name is mostly represented in Hindu religion.,Boy
jiva,Life; Being; Living; Existence;,Boy
jivadeva,Lord of the Soul; Lord of Life; King of Existence; God of the Beings,Boy
jivaj,"The meaning of the name is Full of Life. It is an Indian male name, mainly represented in Hindu religion.",Boy
jivaja,Jivaja means Born Alive and is a male name of Indian origin. The name Jivaja is usually given to people of Hindu religion.,Boy
jival,The name Jival means Full of life. The name is of Indian origin and a male name. Jival is mainly represented in Hindu religion.,Boy
jivala,"Jivala means Full of Life and is an Indian masculine, Boy name represented in Hindu religion.",Boy
jivan,"The name Jivan means Life. It is an Indian male name, represented in Hindu religion.",Boy
jivana,The name Jivana is an Indian male name. It means One of 108 names of the sun god and is represented in Hindu religion.,Boy
jivanananda,one who is full of life and enjoy every bit of it,Boy
jivandeep,The Lamp of Life; Radiance and Luminant Flame of Life,Boy
jivanlal,Life; Being; Living; Existence; Bringer of Life; A variant of Jeevan,Boy
jivant,Long Lived; Eternal; Blessed with long life,Boy
jivanta,Jivanta is an Indian female name and means The one who gives life. It is of Indian origin and represented in Hindu religion.,Girl
jivaraja,Lord of Life; Lord of the Soul; King of Existence; God of the Beings,Boy
jivatha,"Meaning of the name Jivantha is Life Giver. It is a variation of the name Jivanta. It is an Indian female name, represented in Hindu religion.",Girl
jivatram,Jivatram is an Indian Boy name mainly represented in Hindu religion. The meaning of the name Life.,Boy
jivesh,Jivesh is an Indian male name and means God. It is mostly represented in Hindu religion.,Boy
jivin,Jivin is a male name and means Gives life. It is of Indian origin and represented in Hindu religion.,Boy
jivini,Praise; Glory; Splendour; Honour; Commend; Admire,Boy
jivitesa,King of the Living; Lord of the Beings; King of Existence;,Boy
jivitesh,"The general meaning of the name Jivitesh is God. The name is of Indian origin and used in Hindu religion. The name is a masculine, Boy name.",Boy
jivraj,The name Jivraj is an Indian male name and means Lord of life mostly represented in Hindu religion.,Boy
jivram,"Lord of Life, who have a very strong grip on everything which is around him.",Boy
jivyang,"They are happy, lucky and devoted persons. They will keep the other ones happy with light chit chat.",Boy
jiwal,"The one with passionate soul and reserved nature, will keep calm, stritct and ambitious throughout the life.",Girl
jiwan,Life; Being; Living; Existence;,Boy
jiwani,"They are conversational, superficial and teach others to live life with hope and leave negtavity.",Boy
jiwanpal,Fosterer of Life; Friend of Life; Companion for life; One who encourages and supports in life,Boy
jiwanpreet,Love of Life; One who loves to live and Exist; Affectionate towards life,Boy
jiya,"Sweatheart, This is the name of blessings and fortunate. They are the loved ones of the whole family.",Girl
jiyaan,Near Heart; Always Happy; Beloved; Dearmost; Full of spirit;,Boy
jiyaram,"Sweatheart, This is the name of blessings and fortunate. They are the loved ones of the whole family.",Girl
jiytendra,"Conqueror of Indra, It is another name of Meghanada, the son of Ravana, the king of Sri Lanka.",Boy
jiyu,Compassionate Friend; Benevolent Friend; Empathetic Friend; Benign Friend;,Boy
jjval,"They are the people who establish their life with independence, determination and originality.",Boy
jnaan,"They are practical, stable and friendly persons.",Boy
jnaandeva,Lord of Life; Lord of the Soul; King of Existence; God of the Beings,Boy
jnana,Knowledge; Wisdom; Intelligence; Brilliance;,Boy
jnanada,"The one with high ambitions, dynamic nature, generous and clever mind.",Boy
jnanadarpana,"Mirror of Knowledge, The one who has hidden qualities of knowledge and wisdom. Owing a research and analytical mind.",Boy
jnanadirgha,Life Giving; Life; Bringer of Life,Boy
jnanaprakash,"Mirror of Knowledge, The one who has hidden qualities of knowledge and wisdom. Owing a research and analytical mind.",Boy
jnaneshwar,"God of Knowledge, The one who has hidden qualities of knowledge and wisdom. Owing a research and analytical mind.",Boy
jnateya,"The one who has hidden qualities of knowledge and wisdom. Owing a research and analytical mind.; A quite, systematic and versatile being",Girl
jnatri,Successful Life; Victorious Life; Triumphant Life; A winner in life,Boy
jnhih,They have intense desire to serve and help others. They are of analytical mind.,Boy
jnyandeep,"Light of Knowledge, The one who has hidden qualities of knowledge and wisdom. Owing a research and analytical mind.",Boy
jnyaneshwar,"These are lively, expressive and having great verbal habits. They will keep the other ones happy with light chit chat.",Boy
joardar,"Jarder is an Indian male name. It is, however more used as a surname and is mostly represented in Hindu religion.",Boy
joarder,Joarder is an Indian unisex name and means Powerful. It is commonly used in Hindu religion.,Unisex
joban,Joban is an Indian male name and means Youth. It is represented in Hindu religion.,Boy
jobandeep,The meaning of the name is Young Ray of Hope. It is an Indian male name mostly represented in Sikh religion.,Boy
jobanroop,Embodiment of Beauty; Embodiment of Loveliness; Epithet of Gorgeousness,Boy
jobanveer,The name Jobanveer means Brave and Charming. It is an Indian male name represented in Sikh religion.,Boy
jobanwant,Full of Charm; Full of Beauty; Embodiment of attractiveness,Boy
jodari,A surname from the Country of Iran,Boy
jodh,Brave; Warrior; Mighty Fighter; Courageous Soldier,Boy
jodha,Brave; Warrior; Mighty Fighter; Courageous Soldier; Name of a Rajput Princess,Boy
jodhbir,Brave Warrior; Mighty Fighter; Courageous Soldier,Boy
jodhpal,Brave Protector; Mighty and Fierce Guardian; Courageous Defender,Boy
joga,"A person of value , moral, pleasing.Name of sacrifice and victimization",Boy
jogaraja,Lord of Ascetics; One of many names of Lord Shiva,Boy
jogdhiaan,Attain union with God; Attain salvation; One who is one with God,Boy
jogedra,Lord of Ascetics; One of many names of Lord Shiva; A variation of name Jogendra,Boy
jogen,King of the Universe; Supreme Being of the Universe; One of the many names of Lord Shiva,Boy
jogendra,"Establishing union,consolidation ,agreement with Lord Shiva.Ruler of Yogis",Girl
jogesh,Lord Shiva,Boy
jogesha,King of the Yogis; Master or one who is adept in Yoga and Yogic practises,Boy
jogindar,Establishing Union With God; Attain union with God; Attain salvation; One who is one with God,Boy
joginder,"Gentle ,kind,stubborn,happy,enthusiast.Lord Shiva",Boy
joginderbir,"A master of yoga who is a brave, courageous and mighty warrior",Boy
jogindermeet,"A master of yoga who is friendly, compassionate and kind towards everyone",Boy
joginderpreet,One who loves to be a master of Yoga; One who likes to perform yoga for attaining union God,Boy
jogindra,Lord Shiva,Boy
jogishwar,Master of Yoga; Expert in Yoga; One who is adept in Yoga and yogic practises,Boy
jogprakash,Union with the Light; One who attains the light of enlightment;,Boy
jogvichaar,Reflections to Attain Union with God; Thoughts of attaining salvation and being one with God,Boy
johaar,"Glorious union with the God,Jewel.One who is skillful,proficient and practical.",Boy
joideep,Light of Happiness; Flame of Joy; Lamp of happiness,Boy
jonaraaja,Name of a talented individual; dedicated being,Boy
jonnalagadda,One of the many names of Lord Shiva,Boy
jonnie,they treat you in a better way and share their quality time. You will surely enjoy their company and have openness attitude.,Boy
jooseppi,"people with this name are superb, handy and sweetheart. They can not keep you down in any matter. They are real and honest.",Boy
joost,they are blessed with the things and grace of God. They love everlast and have understanding capability.,Unisex
jorya,Powerful; Mighty; Brave; Strong; Courageous,Boy
josa,Josa means Woman,Girl
joshal,Approval; Praise; Appreciate; Admire,Boy
joshika,Joshika means Young Maiden,Girl
joshila,One who is filled with enthusiasm,Girl
joshita,The meaning of hte name is Pleased,Girl
joshitha,Joshitha means Pleased,Girl
joshva,Joshva name means Funny,Boy
josita,Josita name meansPleased,Girl
jot,The name Jot means Light,Girl
jothi,Lamp - Removes Darkness; One who brings brightness; Radiant and Luminant,Girl
jothiraj,King of Light; Fire; Flame; A ruler or emperor who is bright and radiant,Boy
jotipal,Fosterer of Light; Friend of light; Companion of Light,Boy
jotipreet,Love of Light; One who likes brightness and radiance; Luminant Love,Boy
jotleen,Jotleen means Apsorbed in the Light of God,Girl
jotniranjan,The meaning of the name is Immaculate Llight,Boy
jotprakash,Radiating the Divine Light; Divine Brightness and Luminance,Boy
jotsaroop,Embodiment of Beauteous Light; Epithet of brightness; Personification of Divine Light and luminance,Boy
jovils,"A pleasant, restless and experienced being",Boy
joyal,Joyful Person; One who is happy and delighted;,Boy
joydeep,"Victory Light; Light of happiness, joy and delight",Boy
joyendu,"Carrier of victory light; One who brings happiness, joy and delight",Boy
joyjeet,they treat you in a better way and share their quality time. You will surely enjoy their company and have openness attitude.,Boy
jrashesh,"people with this name are superb, handy and sweetheart. They can not keep you down in any matter. They are real and honest.",Boy
juail,they are blessed with the things and grace of God. They love everlast and have understanding capability.,Unisex
jugaad,One who is there since ages; One who finds simple solutions for complicated problems,Boy
jugal,Jugal name means Couple,Boy
jugala,Duo; A Sanskrit name meaning two or Dual,Boy
juggy,Means Victory of Blue,Boy
juginder,Juginder means Lord Shiva,Girl
jugnu,Name Jungu means Firefly,Boy
juhi,Juhi name means Flower,Girl
juhit,The name Juhit means Brightness,Boy
juhith,The name means Jasmin Flower,Boy
jui,Jui name means Flower,Girl
juily,Juily name means Flower,Girl
jupinder,One who recites God's Name,Boy
jupinderbir,Brave and mighty warrior who recites God's Name,Boy
jupinderdeep,"It is a Boy name, and means Light with the recitation of the God's name",Boy
jupinderjit,The meaning of the name Jupinderjit is Victory with the God's name,Boy
jupinderjot,The name Jupinderjot means Light with the recitation of God's name,Boy
jupindermeet,Jupindermeet means A Friend who recites God's name,Boy
jupinderpreet,One who likes to recite God's Name; Love for reciting God's Name,Boy
jusal,The meaning of the name Jusal is Pearl,Boy
jusbir,"The meaning of the name Jusbir is ""A brave One who sings God's Praises""",Boy
jusdeep,Lamp of Glory; Magnificient and splendid light; Brilliant Flame,Boy
jusmail,Jusmail means Glorious union with God,Boy
jusman,The meaning of the name Jusman is Pair,Boy
jusmeet,Glorious Friend; Wonderful Companion;,Boy
juspreet,The meaning of the name Juspreet is One who sings praises of the Lord,Girl
jusveer,Jusveer means Hero of Fame,Boy
juthika,"Juthika is a name that represents a kind of a Flower, Jasmine Flower",Girl
juvas,The name Juvas means Quickness,Boy
jvala,The meaning of the name Jwala is Blaze,Girl
jvalka,"A large Flame; Bright, Glorious and Radiant Light",Boy
jvitesh,God; Supreme Being; Lord; Creator of life; Ruler and Emperor of all beings in Universe,Boy
jwala,Jwala means Blaze,Girl
jwalamalini,"A Jain yakshini, flame",Girl
jwalanath,Light of a Lamp; Radiance and Brilliance of Light,Boy
jwalant,Jwalant means Luminous,Boy
jwalapraksh,Gift of Fire; Blessing of light;,Boy
jwalia,Jwaila means Flames,Girl
jwalin,One of the many names of Lord Shiva,Boy
jyanshu,One of the many names of Lord Hanuman signifying his strength to be victorious,Boy
jyayas,Greater; Stronger; Mightier; Powerful,Boy
jyena,Jyena means Princess,Girl
jyeshta,The name Jyeshta means Star,Boy
jyeshtha,Jyeshtha means The Eldest,Boy
jyesth,The Eldest; Respected and Honourable; One of the many names of Lord Vishnu,Boy
jyestha,Jyestha means Lord Vishnu or The Eldest,Boy
jyh,The name Jyh means Flower,Girl
jyosith,One of the many names of Lord Shiva signifying his brilliance and divine radiance,Boy
jyostna,Jyostna means Moonlight,Girl
jyotdeep,Jyotdeep means Lamp's Light,Boy
jyotheesh,The meaning of the name is Lord Who Gives Light,Boy
jyothi,"Jyothi means Light, Lamp",Girl
jyothirmaayee,"The meaning of the name is Bright, Glowing",Girl
jyothish,The name means Provider of the Light,Boy
jyoti,Jyothi means The Light of the Sun,Girl
jyotibala,Jyotibala means The Light Force,Girl
jyotibhasin,One of the many names of Lord Shiva signifying his brilliance and divine radiance,Boy
jyoticandra,The name means Brilliant Moon,Boy
jyotichandra,Jyotichandra means Moonlight,Boy
jyotichndra,The name means Splendour,Boy
jyotidhara,Splendour; One of the many names of Lord Shiva signifying his brilliance and divine radiance,Boy
jyotika,Jyotika means Light or Flame,Girl
jyotin,Light; Brilliance; Radiance; Luminant; Bright,Boy
jyotindra,The name means Lord of Light,Boy
jyotiprakasa,Jyotiprakasa means Light of the Flame,Boy
jyotiprakash,Jyotiprakash name means Splendor of Flames,Boy
jyotiraditya,"The name means The Resplendence of the Sun, Lord Krishna",Boy
jyotiranjall,Splendour of the Flame; Magnificience of a flame; Glorious divine light,Boy
jyotiranjan,The name means Joyous Flame,Boy
jyotiranjana,"Joyous Flame; Flame of Happiness, Delight and bliss;",Boy
jyotirdhar,The name means The Speed of Flames,Boy
jyotirindra,The meaning of th ename is The Holder of the Light,Boy
jyotirmay,Noble; Kind; Benevolent; Compassionate;,Boy
jyotirmaya,The name means Imbued with Light,Boy
jyotirmayi,"Jyotirmayi means Luminous, Bright",Girl
jyotirmoy,The name means Lustrous,Boy
jyotirmoyee,Jyotirmoyee means Lustrous,Girl
jyotis,"Jyotis means Flame, Bright",Unisex
jyotish,"Moon; Brilliant, Radiant and Bright Light; Knowledge of Light",Boy
jyotishk,Luminous; Brightness; Radiance; Brilliance,Boy
jyotishmat,"Sun; Lord of brilliance, Radiance and Brightness",Boy
jyotishmati,Jyotishmati means Glowing or Bright,Girl
jyotsna,"Jyotsna means Radiant like Flames, Moonlight and Goddes Durga",Girl
jyotsnesha,"Sun; Lord of brilliance, Radiance and Brightness",Boy
jyptian,Jyptian means Three Lights,Boy
jyran,Lost Love; One who is an equivalent treasure like a lost love,Boy
kaajal,"Kaajal name means Muscara, Surma or Eye Liner",Girl
kaalaka,Kaalaka means Pupil of the Eye,Girl
kaalanjari,The name means Goddes Parvati,Girl
kaalathi,A tamil name signifying beginning of time;,Boy
kaali,Goddess Parvathi in black fierce destructive form; Word means the black one in Sanskrit,Boy
kaalika,The name meansFlower Bud od Loud.,Girl
kaalindi,River Yamuna; Variant of Kalindi meaning Sun; Mythological reference of Kalinda mountains or River Kalindi,Boy
kaaliya,Name of a huge black fierce Serpent whom Lord Krishna wins over,Boy
kaalki,One of many names of Lord Narayana signifying him as protecting force against destruction,Boy
kaam,Kaam means Effort to work,Boy
kaamaari,A Sanskrit name meaning Enemy of lust; One who is considered enemy of deva of Lust,Boy
kaamakya,The name means Goddes Durka or Granter of Wishes,Girl
kaami,Kaami means Wishes and Desires are Fullfiled,Boy
kaamjaa,An easy going and approachable individual,Boy
kaamla,Kaamla means Lotus or Pale Red,Boy
kaamna,Kaamna means Passion or Desire,Girl
kaanan,Wild Dark Forest; A childhood name of Lord Krishna signifying his love for Forest,Boy
kaanhaa,A childhood name of Lord Krishna signifying his black skin tone,Boy
kaanishik,Name of an ancient King,Boy
kaapalin,"A likable, good natured and happy individual",Boy
kaarik,Star; Shining and Radiant like Star,Boy
kaarikaa,One who is shining and radiant like a star,Boy
kaarmugilan,The meaning of the name is The Rain-bearing Cloud,Boy
kaarmuhilan,Kaarmuhilan means The Cloud that Bears Rain,Boy
kaarti,Kaarti means Hindu period of the Year,Boy
kaartik,"Son of Lord Shiva; God of War representing light, strength, and success; One of many names of Lord Muruga",Boy
kaartikey,"Son of Lord Shiva; God of War representing light, strength, and success; One of many names of Lord Muruga",Boy
kaartikeya,"Son of Lord Shiva; God of War representing light, strength, and success; One of many names of Lord Muruga",Boy
kaarvannan,Kaarvannan name means God Kannan,Boy
kaasar,A surname of Indian origin,Boy
kaashi,Derived from Sanskrit word Kashi meaning Shining; A Pilgrim city of India with temples of Lord Shiva,Boy
kaashif,"Kaashif means Dicoverer, Revealing",Boy
kaashinaath,Lord of Kaashi; One of many names of Lord Shiva; Derived from Sanskrit word Kashi meaning Shining,Boy
kaashinath,Lord of Kaashi; One of many names of Lord Shiva; Derived from Sanskrit word Kashi meaning Shining,Boy
kaasi,Kaashi name means From the Holy City,Girl
kaasni,Kasni means Flower,Girl
kaat,Kaat name means The Pure,Girl
kaatje,The name Kaatje means The One who is Pure,Girl
kaavalan,"Kaavalan means Guard, Protector",Boy
kaavy,Kaavy name means Poetry in Motion,Girl
kaavya,"Kaavya means Poetry, Motion",Girl
kabal,"Kabal means Clever, Active, Intelligent",Boy
kabali,One of many names of Lord Shiva; A short form of name Kabaleeshwar which is one name of Lord Shiva,Boy
kabalikrut,Swallower of the Sun; One of the many names of Lord Shiva,Boy
kabandha,Ugly Giant; A mythological musician who gets cursed by Lord Indra and then later gets his moksha through Ram,Boy
kabari,Kabari name means A Lock of Hair,Girl
kabarish,Kabaridh means A King of Kings,Boy
kabeer,Kabeer name means The Erderly,Boy
kabelo,Kabelo means Given,Boy
kaberi,Kaberi means Full of Water,Girl
kabhoo,The name Kabhoo means Never,Boy
kabilan,The name Kabilan means Name of Saint,Boy
kabilash,Always Good;,Boy
kabilesh,Joy; Happiness; Delight; Cheerfulness;,Boy
kabir,Kabir name means The Great,Boy
kabita,Kabita name means Poem,Girl
kacapa,"Kacapa means Cloud Drinker, Leaf",Boy
kacesvara,Name of a Famous Poet; A Deity of Beauty; A Temple,Boy
kacha,Kasha means a Cloud,Girl
kachela,A Surname for Samma Tribe people found along banks of Indus River in Pakistan,Boy
kachwaha,Name of a Caste group originated in India; A variant usage is Kushwaha,Boy
kacima,Kacima means Where the Clouds rest,Boy
kadak,Hard; Firm;,Boy
kadal,Kadal means Ocean,unisex
kadali,The meaning of the name Kadali is Banana Tree,Girl
kadam,First Step to do any thing; First initial; Beginning;,Boy
kadama,Kadama means Sweet Meat,Girl
kadamb,Kadamb means Name of the Tree,Boy
kadamba,Kadamba means Orange Flower,Boy
kadambak,The meaning of the name is Cloud,Boy
kadamban,One of many names of Lord Murugan; One who is wearing Kadambu flowers in his shoulders; God of war,Boy
kadambari,Kadambari means Female Cuckoo,Girl
kadambi,An Indian Surname of Tamil Origin; A varaint of Kidambi and in Kannada referred as Kadambi,Boy
kadambini,A Sanskrit name meaning flowers of the Kadamba Tree; An array of clouds;,Boy
kadampan,One of many names of Lord Murugan; One who is wearing Kadambu flowers in his shoulders; God of war,Boy
kadappan,"Secluded, resourceful and astonishing person; A person who is energetic and diligent individual",Boy
kadar,Powerful; Mighty; Brave; Strong; Courageous;,Boy
kadavul,God; Supreme Being; Lord; Creator of life; Ruler and Emperor of all beings in Universe,Boy
kadhi,Ocean; Sea; Vast water signifying depth and strength,Boy
kadhir,"Kadhir means Ray of Light, Brilliant",Boy
kadhiravan,The name bears a meaning Sun,Boy
kadhiresan,The name means Brilliant like the Sun,Boy
kadhiroli,Kathiroli means Intelligent,Girl
kadhirolli,The name means Brilliant like the Sunlight,Girl
kadhirvel,Name of Lord Shanmukha; One of many names of Lord Muruga; God of War,Boy
kadhiyarka,Kadhiyarka means With Lots of Love,Boy
kaditula,Sword; A weapon;,Boy
kadmbari,Kadmbari meansGoddess Saraswati,Girl
kagaji,The name Kagaji means Paper Maker,Girl
kagola,Name of a devotee of a great sage,Boy
kahaan,One of many names of Lord Krishna; God of Ganesha,Boy
kahali,Kahali means Mischevious,unisex
kahalin,Flower; Blossom; Bloom; Develop,Boy
kahemankar,Name of a Manu in Jain Mythology,Boy
kahini,Priest; Holy Person; Young,Boy
kahiram,Prasadam of Lord Krishna; A blessing of Lord Krishna; One who is offered by Lord Krishna,Boy
kahmat,Surname amongst the Konkani Saraswat Brahmins of the Konkan and Malabar coasts of India,Boy
kahol,Name of a Sage; An Ancient Indian Saint; Name means drinking water,Boy
kahola,Kahola means Dringking Water,Boy
kaikeya,Descendants of the Kshatriyas of the Kekaya Janapada; Lord of horses,Boy
kaikeyi,Kaikeyi name means Mother of Bharat in Ramayan,Girl
kailaashavaasi,The Resident of Kailaash; One who belongs to the Himalayan Peak Mt Kailash believed as abode of Lord Shiva,Boy
kailas,Kailas name means Abode of Lord Siva,Boy
kailasa,Kailasa name means SIlver Mountin,Girl
kailasam,The Himalayan Peak Mt Kailash believed as abode of Lord Shiva; One of many names of Lord Shiva,Boy
kailash,The name means One who Bestows Peace,Boy
kailashchandra,The name means Lord of Mount Kailash,Boy
kailashnath,The meaning of the name is Lord Shiva,Boy
kailasnath,One of many names Lord Shiva signifying his abode in the Mt Kailash in Himalayas,Boy
kaira,Kaira means Peaceful and Unique,Girl
kairabh,Born from Lotus; One of many names of Lord Brahma signifying his birth from navel of Lord Vishnu,Boy
kairav,Kairav name means Born from the Water,Boy
kairava,Kairava means Lotus,Boy
kairavan,Kairavan means a type of White Lotus,Boy
kairavi,Kairavi means Moonlight,Girl
kairva,Name of a Himalayan Peak; Abode of Lord Shiva; One of many names of Lord Shiva,Boy
kaishik,Passionate; Loving; Adoring; Ardent; Fervent,Boy
kaishori,"Kaishori name means Youth, Young",Boy
kaisth,Caste or Community based Surname for Hindus in India,Boy
kaitabh,Kaitabh is a name of the demon killed by Vinshu,Boy
kaiten,Kaiten name maens Prince of the Clouds,Boy
kaith,Of Godly; From the heavens; Saint Like; Sage,Boy
kaivalanth,One of many names of Lord Vishnu,Boy
kaivally,The name Kaivally means Perfect Isolation,Boy
kaivalya,The meaning of the name is Aloneness,Unisex
kaivalyanath,One of many names of Lord Shiva,Boy
kajal,Kohl; Collyrium; Black eye liner,Girl
kajallata,Kajallata means Iron Vessel,Girl
kajaraj,One of many names of Lord Ganesh,Boy
kajari,The name Kajari means Bird,Girl
kajish,Lord Vinayagar; One of many names of Lord Ganesh,Boy
kajjala,Kajjala name means Kohl or Eye Liner,Girl
kajjali,Kajjali means Black Eye Liner,Girl
kajol,Kajal means Eye Liner,Girl
kajri,Kajri means Light as a Cloud,Girl
kakali,Meaning of Kakali is Voice of the Bird,Girl
kakanda,Kakanda name means The Golden,Boy
kakar,Grass; Name of a Khatri clan of the Bahri subdivision; A variant is Kak,Boy
kakde,Light; Brightness; Luminance; Radiance,Boy
kakila,Kakila name means Warm around the Neck,Boy
kaklin,White Horse,Boy
kako,Kako means Serpant,Boy
kakodara,Kakodara means Eaten by Acrow,Boy
kakoli,Kakoli name means Preaching of a Bird,Boy
kakshivat,Name of a Rishi; An Ancient Indian Sage,Boy
kaksi,Kaksi means Perfume,Girl
kakubha,The name Kakubha means The one that Excells,Boy
kakuda,Kakuda name means Highest,Boy
kakudman,"Kakudman name means Possesor of the Peak, High",Boy
kakudmi,Kakudumi name means Lofty,Boy
kakunda,"The name Kakunda means Peak, Symbol of Royalty",Boy
kal,Kal Nagini means Half Woman Half Snake Creature,Boy
kalhans,Kal-Hans means Swan,Boy
kala,The Fine Arts; Lady; Princess; The Sun; Time; Fate; One with artistic talents,Girl
kalabhairav,One of many names of Lord Shiva,Boy
kalabhit,Immortal; Long-lived; Eternal; One who can live forever,Boy
kalabhiti,Of whom death is afraid; Long Lived; Immortal; Eternal; Forever,Boy
kalad,Wealthy; Rich; Prosperous; One who has everything in abundant,Boy
kaladeep,Kaladeeph means a Lamp of Art,Boy
kaladhar,Kaladhar name means The One who shows different phases or the Moon,Boy
kaladhara,Kaldhara means Bearer of the Crescent Moon,Boy
kalaghata,Kalaghata name means Time Slayer,Boy
kalaiah,Lord of the Bull; One of the many names of Lord Shiva,Boy
kalaiarasan,King of Arts; One who is well versed in performing arts; Artistically talented and rules Art;,Boy
kalaiarasu,King of Arts; One who is well versed in performing arts; Artistically talented and rules Art;,Boy
kalaikannan,One who is well versed in performing arts; Artistically talented like Lord Krishna,Boy
kalaimani,Gem of Arts; One who is well versed in performing arts; Artistically talented,Boy
kalaiselvan,One who is blessed with the richness of artistic talent; Prosperous and renowned in Arts,Boy
kalaivendan,One who is well versed in performing arts; Artistically talented,Boy
kalajeet,Kalajeet means Artistic Victory,Boy
kalajot,Kalajot name means Light of Art,Girl
kalakala,A Sort of Sound Imitation; Like a River Flow,Boy
kalakant,A Song Bird; Nightingale; Name of Cuckoo,Boy
kalakarni,Kalakarni name means With Black Ears,Girl
kalale,Bamboo in Sanskrit; A mythological place where Brahma worshiped Lord Vishnu idol found in Bamboo bushes,Boy
kalameet,Kalameet name means He Who is a Friend of the Arts,Boy
kalamegam,Kalamegam means Name of a Poet,Boy
kalanabha,Black Navelled; Controller of time; One who is command of time,Boy
kalanath,The name means The Moon,Boy
kalap,"Kalap name means Lord Chandra, The Moon",Boy
kalapak,A heavenly Tree,Boy
kalaparan,Name of Lord Indra,Boy
kalapee,Name of a Poet; Peacock; Nightingale,Boy
kalapi,Name of a Poet; Peacock; Nightingale,Boy
kalapini,"Kalapini means Peacock, Night",Girl
kalappan,Name of a Hindu God; Lord of Moon; Sacred Pitcher,Boy
